station,a_teen,a_college,a_adult,a_mid,a_old,r_native,r_asian,r_black,r_latino,r_unknown,r_white,sex_f,s_m,sex_u,total
LAFAYETTE Av,0,17,8,12,0,0,2,14,14,3,4,7,30,0,37
LAWRENCE St,0,10,7,2,0,0,2,7,4,0,6,7,12,0,19
LEFFERTS BLVD.,1,23,41,22,5,1,17,41,18,13,2,11,81,0,92
LEXINGTON Av,5,58,78,30,5,0,28,24,69,11,44,47,129,0,176
LEXINGTON Av,1,101,157,63,17,6,55,58,95,10,115,120,218,1,339
LIBERTY Av,0,12,23,11,0,1,2,15,15,4,9,7,39,0,46
LIVONIA Av,4,105,116,55,5,0,9,193,59,2,22,63,222,0,285
LONGWOOD Av,0,17,20,15,0,1,0,18,30,1,2,2,50,0,52
LORIMER St,6,172,249,41,5,1,58,76,123,8,212,148,329,1,478
MAIN St-FLUSHING,24,583,812,298,48,1,331,78,1188,89,82,439,1327,3,1769
MARCY Av,2,100,141,28,3,0,19,47,80,8,120,52,222,0,274
METROPOLITAN Av,2,53,102,18,1,0,16,47,55,4,54,59,116,1,176
MIDDLETOWN Rd,0,0,3,1,0,0,0,1,2,0,1,0,4,0,4
MONTROSE Av,0,26,19,6,0,0,4,9,14,1,23,21,30,0,51
MORGAN Av,3,143,250,35,5,0,29,88,85,21,213,104,331,1,436
MORRIS PARK,0,0,6,1,0,0,1,3,1,0,2,2,5,0,7
MOSHOLU PKWY.,0,33,46,31,4,0,4,28,74,1,7,7,107,0,114
MT. EDEN Av,0,27,42,18,5,0,0,23,67,0,2,9,83,0,92
MYRTLE Av,2,86,130,27,0,0,11,85,62,12,75,50,193,2,245
MYRTLE-WILLOUGHBY Avs,0,13,23,4,3,0,4,9,18,0,12,11,32,0,43
MYRTLE/WYCKOFF Avs,4,102,230,58,1,1,18,39,235,13,90,69,324,3,396
NASSAU Av,2,38,74,27,3,0,17,11,61,5,50,45,99,0,144
NECK Rd,0,10,12,2,0,0,2,4,4,0,14,9,15,0,24
NEPTUNE Av,0,3,4,2,1,0,1,0,3,0,6,3,7,0,10
NEVINS St,0,38,70,21,2,0,12,67,32,2,18,27,104,0,131
NEW LOTS Av,1,24,29,12,2,0,0,49,12,2,5,12,56,0,68
NEW UTRECHT Av,0,4,9,4,0,0,4,2,10,0,1,5,12,0,17
NEWKIRK Av,4,32,48,21,2,0,2,59,23,4,20,22,85,1,108
NORTHERN BLVD.,0,7,18,4,0,1,2,2,22,1,1,1,27,1,29
NORWOOD Av,0,7,8,3,0,0,0,10,7,0,1,1,17,0,18
NOSTRAND Av,11,278,514,144,10,7,69,421,219,20,225,258,699,4,961
OCEAN PKWY,0,9,24,16,0,0,4,6,10,3,26,23,26,0,49
OFF-SYSTEM,4,38,87,28,8,0,18,57,56,2,32,36,127,2,165
PACIFIC St,2,79,140,66,6,2,35,85,91,23,58,77,217,0,294
PARK PLACE,0,1,0,1,0,0,1,1,0,0,0,1,1,0,2
PARKSIDE Av,0,9,6,2,0,0,1,7,4,1,4,5,12,0,17
PARSONS BLVD.,0,51,92,39,0,4,12,41,92,23,10,31,151,0,182
PARSONS/ARCHER-JAMAICA CENTER,3,56,75,31,0,0,2,71,75,15,3,22,143,1,166
PELHAM BAY PARK,4,9,8,7,1,0,1,11,17,0,0,5,24,0,29
PELHAM PKWY.,0,20,33,20,1,0,4,29,35,1,6,11,64,0,75
PENNSYLVANIA Av,1,10,16,9,0,0,0,23,11,0,2,16,20,0,36
PRESIDENT St,0,11,8,4,2,0,1,12,10,1,2,4,21,1,26
PRINCE St,1,23,28,8,2,0,13,10,18,4,17,18,44,0,62
PROSPECT Av,6,101,171,63,9,0,12,147,156,11,24,65,284,1,350
PROSPECT PARK,2,55,79,36,3,0,9,97,24,2,43,44,131,0,175
QUEENS PLAZA,0,35,55,18,1,1,18,11,61,6,12,24,85,0,109
QUEENSBORO PLAZA,1,95,119,37,3,2,35,28,153,9,28,66,188,1,255
RALPH Av,2,80,133,39,3,0,11,163,33,3,47,44,212,1,257
RECTOR St,0,6,4,1,0,1,1,3,5,0,1,4,7,0,11
ROCKAWAY Av,5,49,82,37,4,1,5,115,34,5,18,26,152,0,178
ROCKAWAY BLVD.,5,95,163,79,7,4,40,112,154,16,24,74,276,0,350
ROCKAWAY PARK-BEACH 116 St,0,0,2,1,0,0,1,0,2,0,0,0,3,0,3
ROCKAWAY PKWY-CANARSIE,0,18,33,16,3,0,1,48,17,2,3,8,63,0,71
ROOSEVELT Av-JACKSON HEIGHTS,22,517,800,296,28,19,318,53,1048,145,81,361,1297,6,1664
ROOSEVELT ISLAND,0,4,3,1,0,0,0,3,4,1,0,2,6,0,8
SARATOGA Av,2,31,36,9,1,1,4,57,15,1,2,10,70,0,80
SENECA Av,0,2,2,2,0,0,0,2,3,0,1,2,4,0,6
SHEEPSHEAD BAY,7,102,130,66,4,1,25,52,58,18,155,82,224,3,309
SHEPHERD Av,0,3,12,6,0,0,2,12,6,0,1,2,19,0,21
SIMPSON St,6,229,308,134,14,0,9,325,327,1,30,70,621,1,692
SMITH-9 StS,0,17,19,4,0,0,5,14,11,0,10,7,33,0,40
SOUNDVIEW Av,3,100,165,70,4,1,4,89,231,6,11,34,307,1,342
SOUTH FERRY,11,150,182,74,11,1,23,140,158,22,85,95,332,2,429
SPRING St,2,75,105,39,3,2,23,56,80,6,59,60,166,0,226
ST. LAWRENCE Av,1,61,79,28,3,0,10,47,105,8,2,10,161,1,172
STEINWAY St,0,12,10,0,2,0,3,2,11,6,2,5,19,0,24
STERLING St,0,14,36,13,2,1,0,33,15,1,15,19,46,0,65
STILLWELL Av-CONEY ISLAND,15,307,638,350,44,2,74,576,423,31,250,323,1031,2,1356
SUTPHIN BLVD.,6,113,145,72,5,4,47,33,207,33,17,77,263,1,341
SUTPHIN BLVD.-ARCHER Av,10,167,345,174,25,1,54,207,251,94,117,219,497,8,724
